ACTION,CLEARED,INDICATION_OF_COLLATERALIZATION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,1,30
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,1,30
NEW,U,PC,Credit:Index:CDX:CDXIG,Novation,1.24,25
CORRECT,C,UC,Credit:Index:CDX:CDXHY,Trade,1,5
CORRECT,C,FC,Credit:Index:CDX:CDXIG,Trade,1,58
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,1,20
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,0.6
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,1,20
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1,6
CORRECT,U,UC,Credit:Index:CDX:CDXHY,Trade,1,28
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1,28
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,15
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.86,17
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.89,2
CANCEL,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,3
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,1
CANCEL,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,1
CANCEL,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,2
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,2
CANCEL,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,7
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,7
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,3
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.9,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,100
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.9,75
CANCEL,U,FC,Credit:Index:CDX:CDXIG,Trade,0.9,50
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.9,35
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Amendment,1.1,15
CANCEL,U,FC,Credit:Index:CDX:CDXIG,Trade,0.87,100
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.86,25
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.86,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.83,5
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,1,0.1
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,1,10
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1,3
CORRECT,C,FC,Credit:Index:CDX:CDXIG,Trade,1,15
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,20
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,1,100
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,1,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,100
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,60
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,80
CORRECT,U,UC,Credit:Index:CDX:CDXHY,Trade,1,19
CORRECT,U,UC,Credit:Index:CDX:CDXHY,Trade,1,21
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.89,70
CANCEL,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.04,50
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Partialtermination,1.04,50
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.89,3
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,89.75,25
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,89.75,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.72,10
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.73,25
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.65,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.68,50
CANCEL,U,FC,Credit:Index:CDX:CDXIG,Trade,0.74,50
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.86,4
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.86,4
CANCEL,U,UC,Credit:Index:CDX:CDXIG,Trade,0.83,1
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.86,25
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.86,25
CORRECT,C,FC,Credit:Index:CDX:CDXHY,Trade,1.02,20
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.86,0.58
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.79,46
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,10
CANCEL,C,FC,Credit:Index:CDX:CDXIG,Trade,0.88,2
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.88,2
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Trade,0.88,14
CANCEL,C,FC,Credit:Index:CDX:CDXIG,Trade,0.88,14
CANCEL,C,PC,Credit:Index:CDX:CDXIG,Trade,0.9,100
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.78,50
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.73,0.25
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.73,0.25
CANCEL,U,PC,Credit:Index:CDX:CDXIG,Trade,0.75,100
CANCEL,U,UC,Credit:Index:CDX:CDXIG,Trade,0.82,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.84,7
CORRECT,C,FC,Credit:Index:CDX:CDXIG,Trade,1,15
CORRECT,C,FC,Credit:Index:CDX:CDXHY,Trade,1,17
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,100
CORRECT,C,PC,Credit:Index:CDX:CDXHY,Trade,1,51
NEW,U,PC,Credit:Index:CDX:CDXHY,Trade,1,52
CORRECT,U,UC,Credit:Index:CDX:CDXHY,Trade,1,19
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,68
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,80
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,1,19
CORRECT,U,UC,Credit:Index:CDX:CDXHY,Trade,1,18
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,68
CORRECT,U,PC,Credit:Index:CDX:CDXHY,Trade,1,17
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,15
NEW,U,PC,Credit:Index:CDX:CDXIG,Amendment,0.71,53
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,1,80
CORRECT,U,UC,Credit:Index:CDX:CDXIG,Trade,1,80
CANCEL,U,UC,Credit:Index:CDX:CDXHY,Trade,5,2
CANCEL,U,UC,Credit:Index:CDX:CDXHY,Trade,5,0.47
CANCEL,U,UC,Credit:Index:CDX:CDXHY,Trade,5,1
CANCEL,U,UC,Credit:Index:CDX:CDXHY,Trade,5,0.48
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,12
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.69,6
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.76,0.25
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.75,0.25
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Amendment,5,5
CORRECT,U,PC,Credit:Index:CDX:CDXIG,Amendment,5,5
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.04,1
NEW,U,PC,Credit:Index:CDX:CDXHY,Amendment,1.04,1
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.72,0.25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,25
NEW,U,FC,Credit:Index:CDX:CDXHY,Trade,5,25
